"decimalLatitude","decimalLongitude","eventDate","scientific_name","url","image_url"
36.9392365221,25.4736206753,2024-08-27,"Callinectes sapidus","https://www.inaturalist.org/observations/238572115","https://inaturalist-open-data.s3.amazonaws.com/photos/424757392/medium.jpeg"
43.6597519997,15.9510296,2024-08-28,"Callinectes sapidus","https://www.inaturalist.org/observations/238460728","https://static.inaturalist.org/photos/424540931/medium.jpeg"
43.6597612997,15.9510304,2024-08-28,"Callinectes sapidus","https://www.inaturalist.org/observations/238460679","https://static.inaturalist.org/photos/424540867/medium.jpeg"
44.6913611111,12.1793944444,2024-08-27,"Callinectes sapidus","https://www.inaturalist.org/observations/238227950","https://static.inaturalist.org/photos/424096186/medium.jpeg"
43.4582790833,4.4461409748,2024-08-26,"Callinectes sapidus","https://www.inaturalist.org/observations/238069988","https://inaturalist-open-data.s3.amazonaws.com/photos/423786597/medium.jpeg"
40.950357443,19.4802054763,2024-07-28,"Callinectes sapidus","https://www.inaturalist.org/observations/237852019","https://inaturalist-open-data.s3.amazonaws.com/photos/423366847/medium.jpeg"
37.7041555618,-0.7387883216,2024-08-09,"Callinectes sapidus","https://www.inaturalist.org/observations/237738404","https://inaturalist-open-data.s3.amazonaws.com/photos/423141708/medium.jpeg"
44.355992567,12.3107271703,2024-08-24,"Callinectes sapidus","https://www.inaturalist.org/observations/237710115","https://static.inaturalist.org/photos/423086639/medium.jpeg"
44.6509128938,12.2550495437,2024-07-10,"Callinectes sapidus","https://www.inaturalist.org/observations/237646665","https://inaturalist-open-data.s3.amazonaws.com/photos/422969735/medium.jpeg"
40.3875848897,16.8589661455,2024-08-23,"Callinectes sapidus","https://www.inaturalist.org/observations/237539387","https://inaturalist-open-data.s3.amazonaws.com/photos/422758763/medium.jpeg"
37.6600333648,26.8830684945,2024-08-23,"Callinectes sapidus","https://www.inaturalist.org/observations/237504360","https://static.inaturalist.org/photos/422693757/medium.jpeg"
45.031951996,12.4220611018,2023-07-09,"Callinectes sapidus","https://www.inaturalist.org/observations/237468661","https://inaturalist-open-data.s3.amazonaws.com/photos/422629179/medium.jpeg"
42.5138299091,9.5347211836,2024-08-10,"Callinectes sapidus","https://www.inaturalist.org/observations/237460625","https://inaturalist-open-data.s3.amazonaws.com/photos/422610331/medium.jpeg"
42.1409000902,19.0210897457,2024-08-22,"Callinectes sapidus","https://www.inaturalist.org/observations/237341300","https://inaturalist-open-data.s3.amazonaws.com/photos/422377796/medium.jpg"
44.128340795,12.4903158098,2024-08-22,"Callinectes sapidus","https://www.inaturalist.org/observations/237292104","https://inaturalist-open-data.s3.amazonaws.com/photos/422282396/medium.jpeg"
41.0237088045,13.9312595129,2024-08-22,"Callinectes sapidus","https://www.inaturalist.org/observations/237245539","https://static.inaturalist.org/photos/422194554/medium.jpeg"
45.4946196545,13.6045791954,2024-08-21,"Callinectes sapidus","https://www.inaturalist.org/observations/237068187","https://inaturalist-open-data.s3.amazonaws.com/photos/421853285/medium.jpeg"
41.3123989585,2.1157666146,2024-08-10,"Callinectes sapidus","https://www.inaturalist.org/observations/236979071","https://inaturalist-open-data.s3.amazonaws.com/photos/421625896/medium.jpeg"
41.6291988353,2.7149288448,2024-08-07,"Callinectes sapidus","https://www.inaturalist.org/observations/236978925","https://inaturalist-open-data.s3.amazonaws.com/photos/421624979/medium.jpeg"
43.2626967062,3.3295061812,2024-08-20,"Callinectes sapidus","https://www.inaturalist.org/observations/236926774","https://inaturalist-open-data.s3.amazonaws.com/photos/421580032/medium.jpeg"
45.305547,12.313474,2024-07-29,"Callinectes sapidus","https://www.inaturalist.org/observations/236912171","https://inaturalist-open-data.s3.amazonaws.com/photos/413005044/medium.jpeg"
45.309702,12.316494,2024-07-31,"Callinectes sapidus","https://www.inaturalist.org/observations/236907158","https://inaturalist-open-data.s3.amazonaws.com/photos/413947589/medium.jpeg"
42.1810383333,11.7292133333,2024-08-20,"Callinectes sapidus","https://www.inaturalist.org/observations/236871823","https://static.inaturalist.org/photos/423924957/medium.jpeg"
40.6295745384,0.7412650093,2018-09-27,"Callinectes sapidus","https://www.inaturalist.org/observations/236793702","https://static.inaturalist.org/photos/421317481/medium.jpeg"
35.1678443669,8.1391411261,2024-08-19,"Callinectes sapidus","https://www.inaturalist.org/observations/236783011","https://static.inaturalist.org/photos/421300697/medium.jpeg"
40.6611351134,26.0636404394,2024-08-19,"Callinectes sapidus","https://www.inaturalist.org/observations/236771408","https://inaturalist-open-data.s3.amazonaws.com/photos/421315499/medium.jpeg"
39.5683001156,19.9107568159,2024-08-19,"Callinectes sapidus","https://www.inaturalist.org/observations/236698638","https://static.inaturalist.org/photos/421138156/medium.png"
41.9961616667,9.4489616667,2024-08-19,"Callinectes sapidus","https://www.inaturalist.org/observations/236676983","https://inaturalist-open-data.s3.amazonaws.com/photos/421097132/medium.jpeg"
42.4169,11.2789383333,2024-08-17,"Callinectes sapidus","https://www.inaturalist.org/observations/236334957","https://inaturalist-open-data.s3.amazonaws.com/photos/420439741/medium.jpeg"
43.5424533333,4.1292778333,2024-08-16,"Callinectes sapidus","https://www.inaturalist.org/observations/236284282",""
